delayTolerance, linkLeakage, delayCutoff, storageSize, dataSize.0, flow.0, dataSize.1, flow.1, dataSize.2, flow.2
612000, 0.3, 43200, 8e+12, 8e+16, 9.17996319937e+15, 8e+16, 7.40548420672e+16, 8e+16, 2.6102910558e+16
615600, 0.3, 43200, 8e+12, 8e+16, 1.26134738258e+16, 8e+16, 4.48182311045e+16, 8e+16, 5.30507684604e+16
619200, 0.3, 43200, 8e+12, 8e+16, 6.95031392369e+15, 8e+16, 3.6037461935e+16, 8e+16, 6.7578173313e+16
622800, 0.3, 43200, 8e+12, 8e+16, 1.12822767085e+15, 8e+16, 5.0236497149e+16, 8e+16, 6.01642409056e+16
626400, 0.3, 43200, 8e+12, 8e+16, 1.12887596768e+16, 8e+16, 5.24267566562e+16, 8e+16, 4.84357211902e+16
630000, 0.3, 43200, 8e+12, 8e+16, 2.25633287326e+15, 8e+16, 6.09255991454e+16, 8e+16, 4.9779161556e+16
633600, 0.3, 43200, 8e+12, 8e+16, 2.62457977284e+15, 8e+16, 8e+16, 8e+16, 3.09208423721e+16
637200, 0.3, 43200, 8e+12, 8e+16, 1.72947116636e+16, 8e+16, 4.91899450154e+16, 8e+16, 4.74826992902e+16
640800, 0.3, 43200, 8e+12, 0.0, 0.0, 8e+16, 8e+16, 8e+16, 3.51518646652e+16
644400, 0.3, 43200, 8e+12, 8e+16, 4.67351300013e+16, 8e+16, 5.68774512973e+16, 8e+16, 1.39900786822e+16
648000, 0.3, 43200, 8e+12, 8e+16, 1.18620059367e+16, 8e+16, 4.93049156205e+16, 8e+16, 5.53829986555e+16
651600, 0.3, 43200, 8e+12, 8e+16, 2.43606917318e+16, 8e+16, 4.68687577851e+16, 8e+16, 4.60688070639e+16
655200, 0.3, 43200, 8e+12, 8e+16, 2.07903520594e+16, 8e+16, 5.95215274091e+16, 8e+16, 3.81786157024e+16
658800, 0.3, 43200, 8e+12, 8e+16, 1.03124442045e+16, 8e+16, 3.48906766553e+16, 8e+16, 7.3171529777e+16
662400, 0.3, 43200, 8e+12, 8e+16, 1.39215316845e+16, 8e+16, 4.48112731226e+16, 8e+16, 6.02547841943e+16
666000, 0.3, 43200, 8e+12, 0.0, 0.0, 8e+16, 8e+16, 8e+16, 3.97396950661e+16
669600, 0.3, 43200, 8e+12, 8e+16, 8.63607663713e+15, 8e+16, 4.0817407503e+16, 8e+16, 7.0851950975e+16
673200, 0.3, 43200, 8e+12, 8e+16, 6.77003881264e+15, 8e+16, 5.65933870259e+16, 8e+16, 5.80795519164e+16
676800, 0.3, 43200, 8e+12, 8e+16, 1.25912125096e+16, 8e+16, 6.68040969497e+16, 8e+16, 4.31034233698e+16
680400, 0.3, 43200, 8e+12, 8e+16, 1.21159968044e+16, 8e+16, 6.60153362361e+16, 8e+16, 4.51578153709e+16
684000, 0.3, 43200, 8e+12, 8e+16, 2.28159192885e+16, 8e+16, 6.58591330253e+16, 8e+16, 3.51239791846e+16
687600, 0.3, 43200, 8e+12, 8e+16, 6.30141059528e+15, 8e+16, 7.48344074533e+16, 8e+16, 4.33662004419e+16
691200, 0.3, 43200, 8e+12, 8e+16, 6.26950083165e+15, 8e+16, 4.61996248351e+16, 8e+16, 7.27125739469e+16
694800, 0.3, 43200, 8e+12, 8e+16, 2.26267993316e+16, 8e+16, 3.68879312869e+16, 8e+16, 6.59748426324e+16
698400, 0.3, 43200, 8e+12, 8e+16, 1.49516699126e+16, 8e+16, 4.38682823424e+16, 8e+16, 6.74126151278e+16
702000, 0.3, 43200, 8e+12, 8e+16, 6.69366957202e+15, 8e+16, 8e+16, 8e+16, 4.02334219356e+16
705600, 0.3, 43200, 8e+12, 8e+16, 1.05680757299e+16, 8e+16, 3.74342340862e+16, 8e+16, 8e+16
709200, 0.3, 43200, 8e+12, 8e+16, 2.23535870664e+16, 8e+16, 5.76914710186e+16, 8e+16, 4.82644748496e+16
712800, 0.3, 43200, 8e+12, 8e+16, 4.43896124698e+15, 8e+16, 4.47400169428e+16, 8e+16, 8e+16
